,gt-pred,pred-gt,average,gt-pred,pred-gt,average,gt-pred,pred-gt,average
557,0.002232401,0.001188081,0.001710241,0.002213638,0.001234744,0.001724191,0.002269644,0.001527383,0.001898513
12,0.002084535,0.001370359,0.001727447,0.002045882,0.001379067,0.001712475,0.002151078,0.001719554,0.001935316
564,0.001690468,0.000969116,0.001329792,0.001642055,0.000987803,0.001314929,0.001717135,0.001093601,0.001405368
476,0.002037521,0.000822371,0.001429946,0.001986618,0.000831785,0.001409201,0.002027914,0.00087264,0.001450277
404,0.001495364,0.000569919,0.001032641,0.001414646,0.000569279,0.000991963,0.001503165,0.000619096,0.001061131
239,0.001582107,0.001285969,0.001434038,0.001554892,0.001292683,0.001423787,0.001636409,0.00160972,0.001623065
438,0.002121249,0.002114821,0.002118035,0.002100781,0.002142416,0.002121598,0.0021433,0.002278516,0.002210908
321,0.002199256,0.001143622,0.001671439,0.002146332,0.001121553,0.001633942,0.002266714,0.001635691,0.001951203
247,0.002079726,0.001197697,0.001638711,0.00204188,0.001215464,0.001628672,0.002103359,0.001327715,0.001715537
125,0.002149743,0.002033742,0.002091743,0.002125414,0.002059053,0.002092233,0.0021888,0.002153569,0.002171184
33,0.0022687,0.001471871,0.001870286,0.002244589,0.001502094,0.001873342,0.002307063,0.001715145,0.002011104
71,0.001782032,0.001453829,0.001617931,0.001743583,0.001460825,0.001602204,0.001828971,0.001675143,0.001752057
237,0.001901201,0.001360236,0.001630718,0.001869446,0.001372091,0.001620768,0.00195598,0.001629382,0.001792681
39,0.002487734,0.01211581,0.007301772,0.002465713,0.001469931,0.001967822,0.002552377,0.02424596,0.013399168
354,0.001691256,0.001569655,0.001630455,0.001660557,0.001589696,0.001625126,0.00174221,0.001758832,0.001750521
349,0.001861207,0.000971588,0.001416398,0.001808118,0.000963093,0.001385606,0.00192885,0.00139484,0.001661845
287,0.001880971,0.002156877,0.002018924,0.00183014,0.001334692,0.001582416,0.001916226,0.003387622,0.002651924
401,0.001985096,0.001161895,0.001573496,0.001966708,0.001170217,0.001568462,0.002045865,0.001450952,0.001748409
