,gt-pred,pred-gt,average,gt-pred,pred-gt,average,gt-pred,pred-gt,average
595,0.002015941,0.000952486,0.001484214,0.00195702,0.000962188,0.001459604,0.002016841,0.001071377,0.001544109
175,0.002725881,0.001248675,0.001987278,0.002153108,0.001304628,0.001728868,0.002174653,0.001844364,0.002009509
343,0.002081618,0.00165875,0.001870184,0.00201925,0.001666334,0.001842792,0.002053837,0.001767776,0.001910806
228,0.002307867,0.001690065,0.001998966,0.002341703,0.001719351,0.002030527,0.002321282,0.001828567,0.002074924
163,0.003381904,0.001117552,0.002249728,0.002526122,0.00103144,0.001778781,0.00259747,0.001648261,0.002122865
270,0.002984404,0.001219948,0.002102176,0.002624958,0.001217943,0.00192145,0.002638617,0.001399944,0.002019281
191,0.00270163,0.002564006,0.002632818,0.0025455,0.002571264,0.002558382,0.00250229,0.002802297,0.002652293
513,0.002018208,0.001472901,0.001745555,0.001992342,0.00146496,0.001728651,0.001976417,0.001649206,0.001812812
387,0.002032077,0.001718088,0.001875082,0.001978964,0.001742036,0.0018605,0.002038455,0.011731365,0.00688491
567,0.002516272,0.001626282,0.002071277,0.001919734,0.001633748,0.001776741,0.001882833,0.001863935,0.001873384
76,0.001740549,0.001482414,0.001611481,0.001632676,0.001503522,0.001568099,0.001711789,0.00161626,0.001664025
115,0.002295806,0.002193195,0.0022445,0.002210515,0.002202358,0.002206436,0.002225152,0.00236748,0.002296316
518,0.002065541,0.001240843,0.001653192,0.002002078,0.001232577,0.001617328,0.002072633,0.001864768,0.0019687
472,0.002221872,0.000969127,0.001595499,0.002144442,0.000949403,0.001546923,0.002212076,0.001289769,0.001750923
494,0.002209809,0.001037622,0.001623715,0.002185935,0.00105737,0.001621653,0.002233761,0.001153113,0.001693437
77,0.001744538,0.001720251,0.001732395,0.001681084,0.001740086,0.001710585,0.00174884,0.001818974,0.001783907
431,0.003172463,0.001382397,0.00227743,0.002669091,0.001465098,0.002067094,0.002565162,0.001974078,0.00226962
331,0.003031231,0.000855181,0.001943206,0.001849187,0.000876518,0.001362852,0.001946921,0.001157364,0.001552143
565,0.002086222,0.001140446,0.001613334,0.001763516,0.001042221,0.001402869,0.001889734,0.001661404,0.001775569
424,0.00273619,0.001423973,0.002080081,0.00274831,0.001450603,0.002099456,0.002738461,0.001589984,0.002164222
13,0.002584789,0.001463266,0.002024027,0.002313264,0.001447685,0.001880475,0.002405863,0.001685671,0.002045767
335,0.001856745,0.001085907,0.001471326,0.001667501,0.0010984,0.00138295,0.001778758,0.001498777,0.001638767
592,0.002126189,0.001465318,0.001795754,0.002043714,0.001484749,0.001764231,0.002064862,0.001555653,0.001810258
89,0.002428187,0.001665923,0.002047055,0.002161461,0.001584863,0.001873162,0.001966571,0.002017711,0.001992141
536,0.001855022,0.000972016,0.001413519,0.001725459,0.000986924,0.001356192,0.001813043,0.001117941,0.001465492
42,0.001850166,0.000956875,0.00140352,0.001682366,0.000944447,0.001313406,0.001793823,0.00115255,0.001473186
83,0.002309696,0.001512859,0.001911277,0.002061728,0.001499194,0.001780461,0.002162469,0.001693961,0.001928215
241,0.002427938,0.001352279,0.001890108,0.001834698,0.001389051,0.001611874,0.001877705,0.00149842,0.001688062
267,0.001586937,0.000802343,0.00119464,0.001489022,0.000785778,0.0011374,0.001593165,0.00094512,0.001269143
132,0.002602288,0.002131116,0.002366702,0.002285416,0.002070937,0.002178176,0.002214521,0.002525624,0.002370072
506,0.002238126,0.001857168,0.002047647,0.002157668,0.001881729,0.002019699,0.002204944,0.002011531,0.002108237
346,0.002203675,0.001447158,0.001825416,0.00199398,0.001440224,0.001717102,0.002082325,0.001666395,0.00187436
280,0.001893855,0.000736059,0.001314957,0.00178963,0.000710198,0.001249914,0.001871954,0.000975097,0.001423525
233,0.00215601,0.002015088,0.002085549,0.002142838,0.002027768,0.002085303,0.002170324,0.00211245,0.002141387
55,0.00222675,0.001590397,0.001908574,0.002149934,0.00160941,0.001879672,0.002191005,0.001763829,0.001977417
290,0.002190028,0.001641552,0.00191579,0.002133831,0.001644628,0.00188923,0.002145551,0.001873381,0.002009466
273,0.001898605,0.000840653,0.001369629,0.00182273,0.000827907,0.001325318,0.001907705,0.000951096,0.0014294
532,0.003413755,0.001456273,0.002435014,0.002511627,0.001525802,0.002018715,0.002545621,0.002013998,0.00227981
426,0.002266842,0.0009795,0.001623171,0.002269755,0.001013259,0.001641507,0.002300483,0.001112454,0.001706468
369,0.002053156,0.00125044,0.001651798,0.00197222,0.001250764,0.001611492,0.002047108,0.001504459,0.001775784
496,0.002364387,0.001856322,0.002110355,0.002288419,0.001830377,0.002059398,0.002205063,0.002124133,0.002164598
164,0.002269246,0.000796742,0.001532994,0.002222774,0.000813457,0.001518116,0.002253686,0.000901615,0.001577651
462,0.002730544,0.001043909,0.001887226,0.001941251,0.00099832,0.001469785,0.002078535,0.001475508,0.001777022
504,0.002075489,0.002453157,0.002264323,0.002144338,0.002443652,0.002293995,0.002010019,0.002611372,0.002310695
317,0.003665106,0.00091139,0.002288248,0.00203702,0.000897803,0.001467411,0.002146444,0.00136047,0.001753457
43,0.001716021,0.001640804,0.001678412,0.001616801,0.001640423,0.001628612,0.001720076,0.001794645,0.001757361
248,0.002339558,0.001605687,0.001972623,0.002162824,0.001586246,0.001874535,0.002157282,0.001840342,0.001998812
586,0.002168398,0.00086082,0.001514609,0.002049516,0.000917733,0.001483624,0.002135901,0.001220013,0.001677957
155,0.00215995,0.001455045,0.001807498,0.002074085,0.001475599,0.001774842,0.002117066,0.00154862,0.001832843
122,0.002706497,0.001927038,0.002316767,0.002739687,0.001952358,0.002346023,0.002189387,0.00210778,0.002148583
81,0.002184498,0.001895731,0.002040115,0.002113926,0.001896275,0.002005101,0.002159735,0.001984956,0.002072345
88,0.002571672,0.001833225,0.002202448,0.002049893,0.001917336,0.001983615,0.00207796,0.002354075,0.002216017
10,0.002158917,0.001741646,0.001950281,0.001893553,0.001762077,0.001827815,0.001970411,0.0019088,0.001939605
484,0.002918595,0.001607543,0.002263069,0.00271524,0.001664008,0.002189624,0.002640034,0.001801316,0.002220675
538,0.001857119,0.001031135,0.001444127,0.001742837,0.001003301,0.001373069,0.001835671,0.001138625,0.001487148
341,0.002143736,0.001292571,0.001718153,0.001729607,0.001346958,0.001538283,0.001818729,0.001667813,0.001743271
221,0.002411367,0.001562907,0.001987137,0.002129604,0.001568328,0.001848966,0.002158311,0.001710729,0.00193452
599,0.002126112,0.00086488,0.001495496,0.001942754,0.000864229,0.001403491,0.002014332,0.001018093,0.001516212
9,0.002665224,0.001495767,0.002080496,0.002193124,0.001496981,0.001845052,0.002289221,0.0017898,0.002039511
170,0.002506824,0.001825243,0.002166034,0.002229837,0.001823307,0.002026572,0.002295658,0.002022258,0.002158958
355,0.002270559,0.001066365,0.001668462,0.001771008,0.000997451,0.00138423,0.00191604,0.001428093,0.001672067
340,0.00231066,0.001054014,0.001682337,0.001877213,0.000925785,0.001401499,0.002008945,0.001386542,0.001697743
281,0.00206475,0.000821561,0.001443155,0.002074121,0.000845308,0.001459714,0.002094258,0.000893691,0.001493975
437,0.00211808,0.000817054,0.001467567,0.002121244,0.000842023,0.001481634,0.002141777,0.000865129,0.001503453
142,0.00194259,0.000765872,0.001354231,0.001669373,0.000766586,0.00121798,0.001773123,0.001115214,0.001444169
